iter	Passed	Remaining
0	79	79216
1	186	93152
2	296	98427
3	404	100727
4	506	100694
5	612	101467
6	719	102034
7	826	102520
8	928	102282
9	1035	102532
10	1142	102735
11	1263	104031
12	1384	105078
13	1489	104894
14	1604	105372
15	1718	105704
16	1831	105899
17	1942	105998
18	2050	105873
19	2165	106085
20	2282	106394
21	2398	106634
22	2512	106720
23	2628	106896
24	2741	106900
25	2850	106792
26	2938	105902
27	3036	105421
28	3148	105421
29	3262	105477
30	3380	105655
31	3494	105702
32	3609	105781
33	3725	105847
34	3837	105818
35	3952	105849
36	4060	105679
37	4172	105623
38	4283	105554
39	4398	105574
40	4517	105672
41	4629	105600
42	4740	105507
43	4859	105575
44	4969	105473
45	5073	105228
46	5185	105151
47	5290	104919
48	5391	104638
49	5492	104348
50	5598	104169
51	5705	104019
52	5825	104082
53	5905	103448
54	5996	103037
55	6115	103085
56	6228	103039
57	6340	102979
58	6455	102953
59	6563	102825
60	6674	102741
61	6781	102604
62	6897	102591
63	7004	102445
64	7112	102314
65	7217	102143
66	7337	102181
67	7444	102034
68	7555	101947
69	7668	101877
70	7777	101770
71	7886	101642
72	8004	101643
73	8121	101622
74	8228	101481
75	8338	101373
76	8456	101363
77	8580	101431
78	8694	101364
79	8779	100966
80	8871	100655
81	8980	100543
82	9088	100413
83	9194	100267
84	9315	100273
85	9381	99703
86	9468	99363
87	9577	99255
88	9683	99122
89	9797	99066
90	9904	98936
91	10010	98797
92	10133	98832
93	10251	98806
94	10362	98713
95	10466	98564
96	10581	98505
97	10702	98506
98	10813	98417
99	10922	98304
100	11024	98127
101	11132	98011
102	11240	97887
103	11350	97789
104	11461	97696
105	11540	97335
106	11632	97086
107	11742	96980
108	11802	96475
109	11882	96136
110	11992	96051
111	12110	96022
112	12218	95909
113	12327	95806
114	12448	95799
115	12568	95777
116	12679	95689
117	12780	95529
118	12890	95432
119	13002	95352
120	13118	95297
121	13243	95311
122	13354	95221
123	13485	95267
124	13606	95248
125	13728	95229
126	13843	95161
127	13955	95070
128	14069	94996
129	14147	94678
130	14231	94403
131	14290	93969
132	14341	93489
133	14443	93345
134	14559	93285
135	14681	93269
136	14808	93279
137	14915	93168
138	15028	93092
139	15138	92993
140	15253	92924
141	15356	92785
142	15447	92576
143	15552	92451
144	15641	92231
145	15758	92176
146	15878	92135
147	15987	92033
148	16103	91973
149	16211	91862
150	16317	91743
151	16430	91667
152	16538	91556
153	16652	91479
154	16768	91417
155	16876	91308
156	16997	91264
157	17111	91188
158	17220	91083
159	17332	90994
160	17442	90896
161	17555	90812
162	17662	90695
163	17773	90603
164	17894	90558
165	18008	90476
166	18142	90497
167	18250	90385
168	18367	90315
169	18487	90262
170	18601	90177
171	18726	90147
172	18840	90065
173	18959	90002
174	19077	89938
175	19193	89861
176	19317	89819
177	19438	89767
178	19553	89684
179	19676	89637
180	19788	89539
181	19909	89482
182	20018	89371
183	20141	89323
184	20261	89261
185	20374	89166
186	20496	89111
187	20599	88974
188	20715	88891
189	20844	88862
190	20961	88786
191	21082	88723
192	21200	88646
193	21312	88547
194	21418	88421
195	21526	88302
196	21637	88198
197	21755	88121
198	21876	88054
199	21998	87993
200	22115	87912
201	22227	87810
202	22353	87760
203	22463	87649
204	22581	87571
205	22689	87455
206	22798	87339
207	22905	87216
208	23014	87103
209	23129	87011
210	23245	86923
211	23357	86819
212	23482	86763
213	23598	86673
214	23721	86609
215	23841	86534
216	23961	86459
217	24077	86368
218	24216	86361
219	24327	86251
220	24447	86175
221	24562	86078
222	24672	85967
223	24784	85861
224	24902	85775
225	25017	85680
226	25130	85575
227	25243	85473
228	25361	85385
229	25475	85288
230	25583	85167
231	25692	85049
232	25798	84924
233	25909	84814
234	26029	84735
235	26142	84629
236	26261	84547
237	26371	84433
238	26481	84319
239	26592	84208
240	26705	84105
241	26826	84028
242	26946	83944
243	27061	83847
244	27184	83773
245	27300	83676
246	27423	83601
247	27543	83519
248	27654	83408
249	27772	83318
250	27893	83235
251	28024	83184
252	28140	83085
253	28253	82981
254	28371	82888
255	28493	82810
256	28612	82721
257	28732	82632
258	28849	82539
259	28957	82417
260	29068	82306
261	29183	82202
262	29305	82121
263	29418	82014
264	29528	81900
265	29647	81808
266	29769	81726
267	29882	81619
268	29997	81516
269	30117	81428
270	30228	81315
271	30345	81218
272	30467	81134
273	30576	81015
274	30697	80929
275	30814	80831
276	30925	80718
277	31035	80602
278	31148	80494
279	31256	80372
280	31368	80263
281	31490	80177
282	31606	80076
283	31723	79979
284	31844	79891
285	31964	79799
286	32080	79697
287	32201	79610
288	32318	79509
289	32432	79402
290	32545	79294
291	32650	79166
292	32768	79070
293	32881	78961
294	32994	78852
295	33107	78741
296	33226	78646
297	33342	78544
298	33454	78433
299	33568	78326
300	33682	78220
301	33789	78097
302	33900	77982
303	34024	77898
304	34148	77813
305	34258	77697
306	34372	77591
307	34482	77473
308	34597	77368
309	34713	77264
310	34825	77153
311	34933	77032
312	35046	76923
313	35164	76824
314	35284	76730
315	35396	76617
316	35510	76510
317	35621	76395
318	35740	76298
319	35852	76186
320	35973	76093
321	36094	76000
322	36212	75900
323	36322	75784
324	36442	75687
325	36558	75584
326	36667	75465
327	36779	75353
